word,log_odds_ratio
ceo,-0.03922
cereal,0.11109
cereals,-0.33075
cerebral,0.19084
cerebrospinal,-0.43497
ceremony,0.41227
certain,-0.09255
certainly,-0.13854
certainty,-0.15374
certification,0.11088
certified,-0.06648
cervical,-0.39399
cervix,-0.49333
cessation,-0.79724
cfs,0.41227
cgrp,0.89124
chad,-0.1924
chain,-0.70598
chains,0.11088
chair,0.09196
chairman,-0.31301
chairs,0.41397
chairwoman,0.23639
challenge,-0.23451
challenged,-0.19086
challenges,-0.06663
challenging,-0.21447
chamber,0.23717
chambers,-0.06572
chamomile,0.41284
champagne,0.11088
chan,-0.59095
chance,-0.24047
chances,-0.00135
chandigarh,0.41227
chang,0.49466
change,-0.14527
changed,-0.08852
changer,-0.01445
changes,-0.06871
changing,-0.18428
channels,0.11088
chaos,0.41227
chapel,-0.49333
character,0.41227
characterised,0.41227
characteristic,0.19084
characteristics,-0.06587
characterize,-0.06557
characterized,0.3206
charge,-0.3258
charged,-0.43497
charity,0.36476
charles,-0.13369
charleston,-0.13302
chart,-0.54484
charts,0.41227
chase,-0.06587
cheap,0.02397
cheaper,0.03522
cheaply,0.11088
check,-0.15226
checked,-0.87296
checkered,0.41227
checking,0.11172
checkpoint,-0.06572
checks,-0.43497
checkup,-0.06557
checkups,-0.19086
cheese,0.3167
cheeseburger,0.41227
cheeses,0.41227
chef,0.11088
chemical,0.00064
chemicals,0.04481
chemistry,-0.25955
chemo,-0.24428
chemotherapeutic,0.41227
chemotherapies,0.11109
chemotherapy,0.05099
chen,0.41397
chenchen,0.41227
cheng,0.11088
cherries,-0.06557
cherry,0.23639
chest,-0.22918
chestnut,0.41227
chevy,0.11088
chi,0.63711
chicago,0.0671
chicken,0.01388
chico,0.41227
chief,-0.19473
child,0.02592
childbearing,-0.06557
childhood,-0.21614
children,-0.12217
childrens,0.41227
chile,-0.10114
chili,0.41227
chills,-0.06557
chin,-0.19086
china,-0.19449
chinese,-0.05004
chip,-0.13302
chips,-0.13302
chiropractic,-0.06557
chloride,0.23639
cho,0.41227
chocolate,-0.02787
choice,-0.40627
choices,-0.5495
cholesterol,-0.09988
choline,0.41227
choose,-0.19882
choosing,-0.28988
chose,-0.21909
chosen,-0.29076
chris,0.11172
christina,-0.28813
christine,0.01382
christmas,0.01382
christopher,-0.31827
chromosomal,-0.19086
chromosome,-0.06587
chron,1.0171
chronic,0.14098
chronicle,0.71422
chung,0.41227
church,0.11088
churchill,0.41227
ciccarone,0.11088
cigarette,-0.06633
cigarettes,-0.54716
cincinnati,0.06
circadian,-0.06557
circuit,0.63711
circuitry,0.71422
circuits,0.23639
circulating,-0.37014
circulation,0.28187
circulatory,0.41227
circumcised,0.11088
circumcision,0.23639
circumference,-0.19086
circumstances,-0.76885
cirrhosis,0.41284
cited,-0.19189
cities,-0.36767
citing,-0.49528
citrus,0.41227
city,-0.12913
civil,-0.28988
civilian,0.71422
cladribine,0.11088
claim,-0.52319
claimed,-0.59095
claiming,0.1113
claims,-0.41811
clarification,0.41227
clarify,0.1113
clarity,0.1113
clark,0.11109
clarke,0.41227
class,0.03478
classes,-0.41662
classic,-0.33075
classical,0.41227
classified,-0.12125
classify,0.23639
classroom,0.23639
claudia,-0.28813
clavulanate,0.11088
clean,-0.14644
cleaned,0.41227
cleaning,0.19084
cleanse,-0.19086
clear,-0.30258
clearance,-0.22701
cleared,-0.08705
clearer,-0.40402
clearest,0.41284
clearing,0.23717
clearly,-0.26231
cleveland,0.02714
clever,0.11088
click,0.11257
clicking,-0.44308
clients,0.23795
climacteric,0.41227
climate,0.41227
climb,-0.49333
climbed,0.71422
climbs,0.41227
clinic,-0.16998
clinical,-0.21385
clinically,-0.10599
clinician,-0.13369
clinicians,-0.52631
clinics,-0.22893
clinton,0.41227
cloak,0.41227
clock,0.02674
clog,0.41227
clogged,-0.40402
clogging,-0.28813
clogs,0.11109
cloned,0.11088
clopidogrel,0.11088
close,-0.03251
closed,0.02397
closely,0.15794
closer,-0.15322
closes,0.41227
closing,0.41284
clostridium,0.11088
clot,-0.20957
clothes,-0.13302
clothing,0.11088
clots,-0.21371
clotting,-0.29076
clouds,0.11088
club,0.4134
clue,0.41397
clumps,-0.43497
cluster,-0.06557
cnn,-0.006
cnnhealth,0.11088
cns,0.41227
co,-0.08687
coach,0.1113
coaches,-0.28813
coaching,-0.28813
coalition,-0.28813
coaster,0.11088
coat,-0.28813
coated,-0.19086
coating,0.01382
coatings,0.41227
coauthor,0.19084
cochrane,-0.52197
cocktail,0.07681
cocoa,0.41227
coconut,-0.06557
code,-0.19086
coded,0.41284
coffee,-0.17781
cognition,-0.1924
cognitive,0.07128
cognitively,0.23639
cohen,-0.06602
coherent,0.11088
cohort,0.71572
coil,0.28811
cold,-0.47415
colds,-0.24288
cole,0.41227
coli,0.41227
colic,0.41284
colitis,0.41284
collaborating,-0.06557
collaboration,-0.34496
collaborator,0.41227
collaborators,-0.28813
collagen,0.41397
collapsing,0.41227
collar,0.41227
collarbone,0.41227
collateral,-0.19086
colleague,0.23717
colleagues,-0.11853
collect,-0.09456
collected,-0.11826
collection,-0.3689
collectively,-0.43497
collects,0.01382
colleen,0.71422
college,0.00942
collins,-0.28813
collision,0.11088
colombia,-0.13369
colon,0.04235
colonoscopies,0.16986
colonoscopy,0.06048
color,0.08567
colorado,0.06609
colorectal,-0.00338
colored,0.04399
colorful,0.41284
colors,0.89124
columbia,-0.42138
columbus,-0.28813
column,0.11151
com,-0.14945
coma,0.41284
combat,-0.24569
combats,0.41227
combination,-0.04314
combinations,0.15784
combine,-0.31827
combined,0.0512
combines,0.26986
combing,-0.19086
combining,-0.17028
come,-0.2973
comes,-0.20931
comfort,0.23717
comfortable,-0.35756
comfortably,0.4134
coming,-0.11054
comment,-0.4851
commentary,-0.38726
commented,0.11088
commenting,0.23795
comments,-0.26185
commercial,0.15927
commercialize,0.11088
commercially,-0.17028
commission,0.03182
commissioned,0.11088
commissioner,-0.36767
commitment,-0.28813
committed,-0.13302
committee,-0.38619
committees,0.41227
common,-0.05398
commonly,0.00897
commonwealth,-0.06557
communicate,-0.22701
communicated,0.11088
communication,0.06147
communications,0.11109
communities,0.335
community,-0.20162
comoros,-0.10114
companies,-0.2428
company,-0.14313
comparable,-0.51298
comparative,0.01382
comparatively,0.41227
compare,-0.06758
compared,-0.20075
compares,-0.3689
comparing,-0.34191
comparison,-0.31968
comparisons,-0.59095
compassionate,-0.43497
compatible,-0.06557
compelling,-0.31231
compensate,-0.3689
compensating,0.41227
compete,-0.06572
competed,0.41227
competency,0.41227
competing,-0.06572
competition,0.1113
competitive,0.3167
competitor,-0.19086
competitors,-0.43497
compilation,0.11088
compiled,-0.06557
complain,0.3167
complaining,-0.06557
complaint,-0.06557
complaints,-0.01436
complement,-0.28813
complementary,-0.15493
complete,-0.01784
completed,-0.22408
completely,-0.00783
completes,0.41227
completing,0.2677
completion,0.71422
complex,0.0256
compliance,-0.24288
compliant,0.41227
complicated,-0.18034
complicating,0.71422
complication,-0.06648
complications,-0.27144
component,-0.11364
components,0.07448
composed,0.11088
composition,-0.19137
compound,0.06981
compounded,0.41227
compounding,0.41227
compounds,0.12557
comprehensive,-0.34734
compressed,0.11088
comprised,0.11088
compromise,0.11109
compulsive,-0.15374
computed,0.06997
computer,0.30751
computerized,0.1113
computers,0.01382
computes,0.41227
conceivable,0.11088
conceive,-0.06572
conceived,0.23639
conceiving,-0.43497
concentrate,-0.06572
concentrated,0.2677
concentrating,-0.06557
concentration,0.05343
concentrations,0.02674
concept,0.04983
conception,0.41397
concern,-0.42964
concerned,-0.19502
concerning,-0.49333
concerns,-0.44201
concert,0.41284
conclude,-0.12556
concluded,-0.21845
concludes,-0.46689
concluding,-0.28813
conclusion,-0.4398
conclusions,-0.25002
conclusive,-0.04114
concrete,-0.289
concurrent,0.41227
condition,0.02782
conditioner,0.11088
conditioning,0.01382
conditions,-0.10544
conduct,-0.24569
conducted,-0.22258
conducting,0.08182
conducts,0.23639
conference,-0.05552
conferences,-0.19086
confidence,0.02397
confident,-0.59095
confirm,-0.02916
confirmation,-0.23504
confirmatory,0.11088
confirmed,0.11543
confirming,-0.19086
confirms,-0.21909
conflicting,-0.25955
conflicts,-0.43497
confounders,0.41227
confront,0.41227
confronted,-0.28813
confronting,0.11088
confuse,0.71422
confusing,-0.43497
confusion,-0.33288
congenital,0.71422
congestion,-0.06557
congestive,-0.19086
congo,-0.10114
congress,-0.09017
conjugated,0.41227
conjunction,-0.63271
conn,-0.19086
connect,-0.19137
connected,-0.37265
connecticut,-0.54484
connecting,0.11151
connection,-0.11364
connections,0.04426
connective,-0.36767
connectivity,-0.06557
connects,0.71422
cons,-0.54484
conscientious,0.41227
conscious,0.15784
consciousness,-0.28813
consensus,-0.46689
consent,-0.28813
consequence,0.11088
consequences,-0.49925
consequently,-0.06557
conservative,0.28811
conservatory,0.41227
conserve,-0.06557
conserving,0.28811
consider,-0.21261
considerable,0.04426
considerably,-0.15374
consideration,-0.289
considered,-0.2106
considering,-0.32439
considers,-0.01436
consisted,-0.19086
consistency,-0.06572
consistent,-0.30604
consistently,-0.87296
consisting,-0.43497
consists,0.20935
console,0.11088
consortium,-0.36767
constant,0.11214
constantly,0.11151
constipation,-0.15493
constitutes,0.71422
constraints,0.11088
constricting,0.41284
construction,-0.19086
consult,0.11214
consultant,-0.05674
consultation,-0.36767
consulted,-0.3689
consulting,-0.0033
consults,-0.19086
consume,-0.18242
consumed,0.08703
consumer,-1.10409
consumers,-0.29254
consuming,-0.31627
consumption,0.05768
contact,0.06981
contagious,0.11088
contain,-0.19772
contained,0.13542
containing,-0.14661
contains,-0.24684
contaminants,0.71422
contamination,0.01382
contend,-0.36767
contenders,0.71422
content,-0.37908
contents,-0.06572
context,-0.15374
contingent,0.11088
continue,-0.17889
continued,-0.1625
continues,-0.19397
continuing,-0.11364
continuous,0.11278
continuously,0.1113
contraception,-0.289
contraceptive,-0.40402
contraceptives,-0.06572
contract,-0.67085
contracting,0.11088
contraction,0.89124
contractions,-0.06572
contracts,0.41284
contradicted,0.58985
contrast,-0.17269
contrave,0.11088
contribute,-0.12825
contributed,0.06997
contributes,-0.289
contributing,-0.19189
contributor,-0.19137
control,-0.1268
controlled,-0.10426
controller,0.41284
controlling,-0.10671
controls,-0.11364
controversial,-0.57389
controversy,-0.16105
conundrum,-0.19086
convenience,-0.13302
convenient,0.04399
conventional,0.00439
conversation,-0.67427
conversations,0.04399
conversely,0.58985
convert,-0.06572
converted,0.11088
converts,-0.43497
convince,-0.63271
convinced,-0.84215
convincing,-0.76885
cook,-0.14644
cooked,-0.49333
cookie,-0.02229
cookies,-0.23504
cooking,0.20935
cool,-0.33075
coolest,0.41227
cooling,-0.13302
coordinate,-0.06557
coordinated,0.16986
coordinating,0.71422
coordination,-0.10114
cop,0.11088
copd,0.23639
cope,0.41627
copenhagen,-0.54484
copied,0.41227
copies,-0.06602
coping,0.34781
copy,-0.19137
copyright,-0.24288
corbett,-0.49333
cord,0.0043
cords,-0.06557
core,-0.37014
corn,0.41284
cornea,-0.28813
corneal,-0.06557
corneas,-0.06557
cornell,-0.28988
coronary,0.02107
corp,-0.04493
corporate,-0.19086
corporation,0.11109
corporations,0.41227
correct,-0.09855
corrected,-0.19086
correcting,0.71422
correction,0.04399
corrections,-0.79724
corrective,0.41227
correctly,-0.08473
correlation,0.01388
correspondent,0.1113
corresponding,-0.43497
corresponds,0.41227
corroborates,0.41227
cortex,0.49466
corticosteroid,-0.19086
cortisol,0.28811
cosmetic,0.23874
cosmetics,-0.06557
cost,-0.3741
costa,-0.0033
costing,-0.3689
costlier,-0.19086
costly,-0.22466
costs,-0.50279
cote,-0.10114
cotton,-0.19086
couch,0.41227
cough,-0.19189
could,-0.06762
coumadin,-0.28813
council,-0.43657
counsel,-0.54484
counseled,0.11109
counseling,-0.78798
count,-0.11281
counted,-0.36767
counter,-0.1794
counteract,0.11109
counterculture,0.41227
countering,0.11088
counterparts,0.16986
counters,0.23639
counties,-0.43497
counting,0.28811
countless,0.28811
countries,-0.33788
country,-0.18468
counts,-0.16401
county,0.01382
couple,-0.12963
coupled,-0.19086
couples,0.335
couric,0.41227
course,-0.07575
courtesy,-0.22701
cousin,-0.19137
cousins,-0.19086
cover,-0.37778
coverage,-0.37265
covered,-0.1794
covering,-0.3689
covers,-0.571
covidien,0.41227
covington,0.41227
cow,0.28811
cowen,0.11088
cpap,0.41227
cpr,-0.06557
crackers,0.23639
cracking,0.71422
cracks,0.41227
craft,0.41284
craig,-0.06572
crammed,0.41227
cramping,0.23639
cramps,0.04399
cranial,-0.06557
crash,-0.01436
crashing,0.71422
crave,0.11088
craving,0.11088
cravings,-0.3689
crazy,-0.11198
cream,-0.10114
creams,-0.10114
create,-0.01148
created,0.00901
creates,-0.04114
creatine,0.41227
creating,-0.15493
creative,0.51181
creator,0.41227
credible,-0.24288
credit,0.11151
credited,-0.19086
credits,-0.06572
creek,0.41227
crestor,-0.06587
cried,-0.36767
crises,0.89124
crisis,-0.28988
criteria,-0.29254
critical,-0.00135
critically,0.01388
criticized,-0.19086
critics,-0.70976
croatia,-0.10114
crohn,0.19084
crop,0.11088
cross,-0.93771
crossed,-0.06557
crossing,0.53927
crowded,-0.28813
crp,0.11109
crucial,-0.11364
crunching,0.41227
crush,0.41227
crushing,0.41227
crutches,0.89124
cry,-0.13302
crying,0.04399
cryoablation,0.11088
crystal,0.11088
ct,-0.07878
ctc,0.41227
cts,-0.06557
cuba,-0.13369
cue,0.41227
cues,0.11109
cuff,0.11088
culprit,-0.01436
culprits,0.11088
cultivating,0.11088
cultural,0.19084
culture,0.11151
cultured,0.23639
cultures,-0.36767
cummings,-0.06557
cumulative,-0.19086
cup,0.051
cups,-0.25955
curable,-0.13302
curative,0.11109
curb,-0.06587
cure,-0.07556
cured,-0.21153
curie,0.11088
curing,-0.40402
curious,-0.40402
current,-0.08715
currently,-0.08051
currents,-0.19086
curtailing,0.41227
curtains,0.41227
curtis,0.11088
cushion,0.11109
cusp,0.41284
custom,0.19084
customers,-0.70598
customized,-0.59095
cut,-0.21385
cuts,-0.25471
cutter,0.41227
cutting,-0.29344
cv,0.41227
cvs,-0.28813
cyber,0.11088
cycle,0.04454
cycles,-0.21909
cycling,0.28811
cyclooxygenase,0.41227
cyclotron,0.41227
cynthia,-0.28813
cyprus,-0.03585
cyrus,0.41227
cystic,-0.13302
cytokines,0.28811
czech,-0.0033
da,0.41227
dabigatran,0.41227
daily,-0.26528
dairy,0.02674
dallas,-0.24428
damage,0.04525
damaged,0.21353
damages,0.23639
damaging,0.13776
damian,0.11088
dan,-0.13302
dana,0.06048
dance,0.4134
dander,0.11088
danger,0.01382
dangerous,-0.14234
dangerously,0.16986
daniel,-0.23504
danielle,0.41227
danish,-0.33075
dannon,0.11088
dark,-0.06663
dartmouth,-0.49333
darussalam,-0.10114
dash,0.11109
data,-0.23474
database,-0.63576
databases,-0.19086
date,-0.27133
dating,0.11088
daughter,0.21297
daughters,-0.43497
dave,0.41227
david,-0.28639
davis,-0.09456
dawson,-0.28813
day,-0.14017
days,-0.0318
daytime,-0.43497
dbs,-0.19086
de,0.20935
deaconess,-0.33075
deactivated,0.41227
dead,0.08182
deadliest,0.16986
deadly,-0.14186
deal,-0.05674
dealing,-0.67085
deals,-0.06557
dean,-0.11198
death,-0.11062
deaths,-0.36314
debate,-0.56633
debated,-0.06587
debates,-0.19086
debating,-0.06557
debbie,0.11088
debilitated,0.71422
debilitating,0.21483
debra,0.41227
debris,0.11088
debunked,0.41227
debut,0.11088
dec,0.15173
decade,-0.32426
decades,-0.15197
decaf,-0.06572
decay,-0.19086
deceased,-0.06557
december,-0.12825
decent,-0.1924
decide,-0.69971
decided,-0.21431
decidedly,0.41227
decides,-0.13302
deciding,-0.87296
deciliter,-0.28813
decipher,0.41227
decision,-0.26275
decisions,-0.17254
declare,0.11088
decline,-0.07593
declined,-0.25335
declines,-0.43657
declining,-0.59095
decongestant,0.41227
decrease,-0.05476
decreased,-0.08551
decreases,-0.14644
decreasing,0.01388
decriminalize,0.41227
decrying,0.41227
dedicated,-0.49333
deemed,-0.29076
deep,-0.08477
deeply,0.01382
defect,-0.03585
defective,-0.54484
defects,-0.17459
defend,-0.06557
defense,-0.10114
defenses,-0.49333
defensive,0.41227
defiant,0.71422
defibrillator,0.11172
defibrillators,-0.24288
deficiencies,-0.11198
deficiency,-0.12125
deficient,0.11151
deficit,-0.03585
deficits,-0.11198
define,-0.13302
defined,-0.3213
defining,-0.06557
definite,-0.19086
definitely,-0.19502
definition,-0.33075
definitive,-0.20729
definitively,-0.33075
deformities,0.11088
defy,0.41227
degenerates,0.41227
degeneration,0.02674
degenerative,-0.16401
degree,-0.19397
degrees,-0.14644
dehydration,0.41284
del,-0.36767
delaware,-0.19086
delay,-0.36436
delayed,0.05343
delays,-0.70598
deleted,0.11088
deleterious,0.11088
deleting,0.41227
deletion,0.41227
delicate,-0.19137
delicious,0.41227
deliver,-0.29525
delivered,-0.39496
delivering,-0.28988
delivers,0.25348
delivery,-0.37392
della,0.11088
deluge,0.11088
delusions,0.89124
demand,-0.03585
demanding,-0.19086
demands,-0.19086
dementia,0.14409
dementias,0.11088
democratic,-0.10114
demonstrable,0.41227
demonstrate,-0.04779
demonstrated,0.34172
demonstrates,0.25971
demonstrating,0.01382
demonstration,-0.19086
denial,0.41227
denied,-0.43497
denies,-0.06557
denise,-0.24288
denmark,-0.19344
dennis,-0.06648
dense,-0.59095
density,-0.35756
dental,-0.01436
dentist,-0.01436
dentistry,-0.11198
dentists,-0.28813
denver,0.05343
denverpost,0.71422
department,-0.02376
departments,-0.24288
depend,0.11172
dependent,0.03182
depending,-0.23085
depends,-0.25471
depicts,0.41227
depleting,0.41227
deploying,0.41227
deposits,-0.06587
depressed,0.08052
depressing,0.71422
depression,-0.12457
depressive,0.21796
deprived,-0.43497
depth,-0.11198
deputy,-0.70976
der,0.41227
derive,0.11088
derived,-0.06679
dermatitis,-0.36767
dermatologic,0.11088
dermatologist,-0.26812
dermatologists,-0.19137
dermatology,-0.17459
descent,0.23639
describe,-0.43818
described,-0.02665
describes,0.29083
describing,0.58985
desensitize,-0.19086
deserves,0.89124
design,-0.17515
designated,0.41284
designed,0.08974
designer,0.01382
designing,0.11151
designs,0.23717
desirable,-0.36767
desire,0.04426
desired,-0.28813
desk,0.01382
desperate,-0.12125
desperately,0.41397
despite,-0.43851
destined,-0.28813
destroy,0.02397
destroyed,-0.13302
destroying,0.15784
destroys,0.71873
destruction,-0.06587
destructive,-0.28813
detach,-0.06557
detachment,0.41227
detail,0.06
detailed,-0.14365
details,-0.3752
detect,0.18006
detectable,-0.49333
detected,-0.05109
detecting,0.07448
detection,0.12713
detects,0.11193
deteriorate,0.11109
deteriorated,0.41227
deteriorating,-0.19086
deterioration,0.04399
determine,0.00101
determined,-0.0417
determines,0.41284
determining,-0.09017
detriment,0.41227
detrimental,-0.06572
detroit,-0.289
deutsch,0.41227
deutsche,0.41227
devastating,-0.25471
develop,0.07035
developed,-0.07006
developer,0.3167
developers,0.49466
developing,-0.04638
development,0.15245
developmental,-0.20957
develops,-0.06602
deviation,0.41227
device,0.07241
devices,0.00366
devised,-0.06557
devoid,0.41227
devoted,-0.06557
devout,0.41227
dexcom,0.41227
dha,-0.49333
di,-0.19086
diabetes,-0.1511
diabetic,-0.10114
diabetics,0.15784
diagnose,0.08413
diagnosed,0.06329
diagnoses,-0.01455
diagnosing,0.32898
diagnosis,0.04253
diagnostic,0.06981
diagnostics,-0.15374
diana,-0.13302
diane,-0.36767
dianne,0.41227
diaper,0.41227
diaphragm,-0.19086
diarrhea,0.03249
diastolic,-0.19086
dick,0.41227
diclofenac,0.41227
dictate,0.11088
die,-0.2014
died,-0.17473
diego,-0.43224
dies,-0.43497
diet,-0.14101
dietary,-0.30179
dieters,0.19084
dietetic,-0.06557
dietetics,0.41227
diethylamide,0.41227
dietician,0.11088
dietitian,0.06
dietitians,-0.06557
diets,-0.23891
differ,-0.33075
differed,-0.13302
difference,-0.37783
differences,-0.10248
different,-0.1088
differentiate,0.335
differentiates,0.11088
differently,-0.19292
differing,-0.19086
differs,0.11109
difficult,-0.17597
difficulties,0.20362
difficulty,0.07773
diffuse,0.23639
dig,0.11088
digest,-0.19137
digested,0.11088
digesting,0.41227
digestion,0.1113
digestive,0.03522
digit,0.71422
digital,-0.17028
digitized,0.41227
dilation,0.41284
dilemma,-0.28813
dilemmas,0.41227
diligent,-0.06557
dimensional,0.46836
dimes,-0.49333
diminish,-0.43497
diminished,-0.43657
dimpling,0.41227
diners,0.41227
dinner,0.15784
dioxide,0.58985
dip,0.11088
dipped,0.23639
dips,0.41227
dire,0.71422
direct,-0.24711
directed,0.06
direction,0.07681
directions,0.04399
directly,-0.11911
director,-0.20642
directors,0.41227
directs,-0.06633
dirt,0.41227
disability,0.09668
disabled,-0.46689
disabling,-0.63271
disaccharides,0.41227
disadvantage,0.11088
disagree,-0.01436
disagrees,0.41284
disappear,-0.03585
disappeared,-0.79724
disappears,-0.06557
disappointed,-0.24288
disappointing,-0.70598
disc,-0.28813
discarded,0.41227
discern,0.41227
discernible,0.41227
discharge,0.19084
discharged,0.01382
discipline,0.11109
disclose,-0.28813
discomfort,-0.21153
disconcerting,0.11088
disconnect,0.11088
disconnected,0.11109
disconnection,0.41227
discontinue,-0.19086
discontinued,-0.13302
discount,0.41227
discounted,0.71422
discourage,-0.19086
discouraged,-0.43497
discouraging,0.11109
discover,-0.289
discovered,-0.15861
discoveries,0.11109
discovering,-0.13302
discovery,0.20801
discuss,-0.07953
discussed,0.06
discussing,-0.06587
discussion,-0.43818
disease,-0.13062
diseased,0.335
diseases,-0.01724
disfiguring,0.41284
dish,0.11109
dishes,-0.24288
dislodged,0.41227
dismiss,0.11109
disorder,0.00229
disorders,-0.06239
disorganized,0.41284
disparities,-0.19086
dispense,-0.06557
dispensed,-0.28813
display,0.28811
displayed,0.11109
displaying,0.71422
displays,-0.06557
disposable,0.11088
disputed,0.58985
disputes,-0.06557
disrupt,0.28811
disrupted,-0.06557
disrupting,0.59192
disruption,0.01382
disruptive,-0.06557
disrupts,-0.06572
dissolve,-0.33075
dissolved,-0.06557
dissolves,0.11109
dissolving,-0.13302
dissuaded,0.41227
distance,0.15008
distant,0.01382
distinct,0.04399
distinctions,0.41227
distinctive,0.11088
distinctly,0.41227
distinguish,0.29221
distracted,-0.06557
distraction,-0.19086
distractions,0.41227
distress,-0.04114
distressed,0.41227
distributing,0.41227
distribution,-0.19137
district,0.11109
disturb,0.41227
disturbances,-0.06587
disturbed,0.19084
disturbing,0.89124
ditch,-0.19086
ditto,0.41227
dive,-0.28813
diverse,-0.289
diversity,0.28811
divide,-0.43497
divided,0.21114
division,-0.27161
divorce,0.11088
dizziness,-0.14644
dizzy,0.23639
djibouti,-0.10114
dl,0.11109
dm,0.71422
dmd,0.11088
dme,0.41227
dna,-0.0679
doable,0.41284
docetaxel,0.71422
docosahexaenoic,-0.36767
doctor,-0.02046
doctoral,0.28811
doctorate,0.11088
doctors,-0.08524
documentary,0.41227
documented,-0.289
documents,-0.13302
dog,-0.19189
dogged,0.41227
dogs,-0.01436
doheny,-0.3689
dollar,-0.01436
dollars,-0.44641
dolphins,0.41227
domchek,0.41227
dominant,0.41284
dominated,0.11088
dominates,0.41227
dominica,-0.10114
dominican,-0.10114
donald,-0.289
donate,0.41284
donated,0.30583
donation,0.71422
donations,0.41397
done,-0.06382
donna,0.11109
donor,-0.09017
donors,0.19183
doom,0.11088
door,-0.03585
dooren,-0.49333
dopamine,-0.40402
doping,0.41227
doraiswamy,0.58985
dormant,0.19084
dosage,-0.04493
dosages,-0.19137
dose,-0.20399
doses,-0.32758
dosing,-0.46689
dot,-0.06557
dotinga,-0.19137
double,-0.13783
doubled,-0.14644
doubling,-0.28813
doubt,-0.26812
doubts,-0.28813
douglas,-0.15493
dow,0.41284
dowjones,-0.67085
downed,0.41227
download,0.4134
downside,-0.11281
downsides,-0.76885
downstate,-0.19086
downtown,0.41284
downward,-0.06557
dozen,-0.73606
dozens,-0.571
dpa,0.41227
dr,-0.23741
drafting,0.11088
drag,0.41227
drained,0.11088
dramatic,-0.01895
dramatically,0.11365
drank,0.051
drastic,-0.54484
drastically,0.11088
dravet,-0.06557
draw,-0.08705
drawback,0.3167
drawing,-0.02787
drawn,-0.39399
draws,-0.19086
dread,0.23639
dreaded,0.01382
dreaming,0.71422
dreams,0.04399
dress,-0.19137
dressing,-0.06572
drew,0.1113
dried,0.25971
drill,0.11088
drilled,0.41284
drilling,-0.19086
drink,-0.04565
drinkers,-0.04114
drinking,0.1472
drinks,-0.13436
dripping,0.41227
drippy,0.41227
drive,-0.09148
driven,-0.17028
driver,0.41397
drivers,-0.36767
drives,0.1113
driving,0.19385
droop,0.11088
drop,-0.21326
droplets,0.41284
dropouts,0.41227
dropped,-0.19059
dropping,-0.28813
drops,0.14469
drove,-0.59095
drowned,0.11088
drowsiness,-0.36767
drs,-0.06557
drug,-0.15438
drugmaker,0.45231
drugmakers,-0.28813
drugs,-0.18615
drugstore,0.41227
drums,0.41227
drunk,0.41227
dry,-0.12556
drying,-0.06557
dryness,0.34781
dual,-0.63271
dubbed,0.41512
dublin,-0.06557
duchenne,0.23639
ducts,0.11088
due,-0.16049
duffy,-0.06572
duke,-0.21614
dummy,-0.84911
dump,0.11088
dumping,0.41227
durability,0.11088
durable,-0.63271
duration,-0.12277
durations,0.11088
durham,-0.571
dust,0.11088
dutasteride,0.41227
dutch,0.11151
duty,0.19084
dwelling,0.11088
dxa,-0.06557
dying,-0.30179
dynamic,0.11088
dysfunction,0.13357
dyskinesia,0.41227
dyslexia,0.23639
dyslexic,-0.06557
dyslexics,0.11088
dysmenorrhea,0.41227
dysplasia,0.89124
dystrophin,0.11088
dystrophy,0.11109
eager,-0.54484
eagerly,-0.49333
ear,0.08182
earl,0.41227
earlier,-0.13349
earliest,0.25571
early,-0.03997
earn,-0.43497
earnings,0.41227
ears,0.11151
earth,-0.43497
ease,0.03522
eased,0.41397
eases,0.41284
easier,0.07778
easiest,0.28811
easily,0.1053
easing,-0.3689
east,0.03182
eastern,-0.11198
easton,0.71422
easy,0.04869
eat,-0.11369
eaten,0.11151
eaters,-0.13302
eating,-0.02999
eats,-0.24288
ebullient,0.41227
echoed,-0.49333
echolucent,0.41227
eckel,-0.06557
eclipse,0.41227
economic,0.20935
economically,0.41227
economist,0.41227
economy,0.11088
ecstasy,0.23639
ect,-0.19086
ecuador,-0.16401
eczema,-0.24288
ed,0.36476
eddac,0.71422
edelson,1.0171
edema,-0.28813
edge,-0.35756
edges,0.11088
edible,0.41227
editing,0.71572
edition,0.051
editor,-0.17459
editorial,-0.42499
editors,0.31219
eduardo,0.71422
educated,-0.54484
education,-0.14177
educational,0.16986
educator,0.41227
edward,-0.70598
edwards,0.01382
eeg,0.01382
eegs,0.41227
eeles,0.41284
effect,-0.23939
effective,-0.17317
effectively,0.27692
effectiveness,-0.07575
effects,-0.22769
effexor,-0.49333
efficacious,0.11088
efficacy,-0.19937
efficiency,0.11151
efficient,0.29221
efficiently,0.2677
effort,-0.13021
efforts,-0.18574
egfr,0.71422
egg,0.08567
eggs,0.08567
egypt,-0.0033
eicosapentaenoic,0.23639
eight,-0.1605
eighty,-0.06572
eindhoven,0.41227
einstein,-0.3689
either,-0.27886
ejaculation,-0.13302
ekg,0.89124
el,-0.03585
elasticity,0.41284
elbow,-0.43497
elbows,0.41227
elderly,0.00734
elective,-0.49333
electric,-0.31231
electrical,0.1267
electrically,0.23639
electricity,-0.06572
electrocardiogram,0.89124
electroconvulsive,-0.36767
electrodes,-0.09017
electroencephalogram,0.11109
electrolytes,0.89124
electromagnetic,0.41569
